animal_id,weight_kg,height_cm,habitat,diet_type,species
63,8.5,46.3,Forest,Omnivore,Fox
64,7.7,49.6,Grassland,Omnivore,Fox
65,64.6,73.6,Tundra,Carnivore,Wolf
66,985.3,511.5,Savanna,Herbivore,Giraffe
67,157.2,113.4,Savanna,Carnivore,Lion
68,68.8,64.5,Forest,Carnivore,Wolf
69,2.6,37.9,Forest,Herbivore,Rabbit
70,5031.1,348.6,Forest,Herbivore,Elephant
71,398.8,121.6,Savanna,Herbivore,Zebra
72,244.5,111.9,Grassland,Carnivore,Lion
73,31.1,84.0,Forest,Carnivore,Wolf
74,71.7,61.8,Tundra,Carnivore,Wolf
75,351.1,100.7,Tundra,Omnivore,Bear
76,159.7,117.8,Grassland,Carnivore,Lion
77,227.7,111.6,Savanna,Carnivore,Lion
78,221.4,117.4,Forest,Omnivore,Bear
79,1.7,23.9,Grassland,Herbivore,Rabbit
80,229.2,102.8,Tundra,Omnivore,Bear
81,79.3,65.8,Forest,Carnivore,Wolf
82,2.4,21.8,Forest,Herbivore,Rabbit
83,4712.4,281.9,Savanna,Herbivore,Elephant
84,55.4,76.9,Forest,Carnivore,Wolf
85,290.2,132.6,Grassland,Herbivore,Zebra
86,357.0,122.8,Savanna,Herbivore,Zebra
87,5235.2,262.9,Savanna,Herbivore,Elephant
88,1.1,37.3,Grassland,Herbivore,Rabbit
89,1.1,34.2,Forest,Herbivore,Rabbit
90,7.3,45.7,Grassland,Omnivore,Fox
91,1112.9,512.5,Grassland,Herbivore,Giraffe
92,206.0,117.1,Grassland,Carnivore,Lion
93,1013.0,516.9,Grassland,Herbivore,Giraffe
94,68.2,69.8,Tundra,Carnivore,Wolf
95,53.7,81.8,Forest,Carnivore,Wolf
96,361.2,133.5,Tundra,Omnivore,Bear
97,7.8,44.3,Forest,Omnivore,Fox
98,6.8,44.4,Forest,Omnivore,Fox
99,4.2,47.5,Grassland,Omnivore,Fox
100,342.6,137.0,Grassland,Herbivore,Zebra
101,395.6,138.1,Savanna,Herbivore,Zebra
102,4716.0,299.4,Savanna,Herbivore,Elephant
103,211.9,112.4,Savanna,Carnivore,Lion
104,377.4,131.1,Savanna,Herbivore,Zebra
105,2965.9,294.9,Forest,Herbivore,Elephant
106,1163.3,453.4,Savanna,Herbivore,Giraffe
107,1054.6,492.0,Savanna,Herbivore,Giraffe
108,881.7,493.6,Savanna,Herbivore,Giraffe
109,179.3,104.5,Tundra,Omnivore,Bear
110,992.2,446.8,Savanna,Herbivore,Giraffe
111,191.9,113.5,Savanna,Carnivore,Lion
112,182.4,103.8,Grassland,Carnivore,Lion
113,7.3,36.0,Grassland,Omnivore,Fox
114,31.4,77.7,Tundra,Carnivore,Wolf
115,1122.4,522.7,Savanna,Herbivore,Giraffe
116,104.6,136.7,Forest,Omnivore,Bear
117,341.1,149.7,Forest,Omnivore,Bear
118,76.1,86.8,Forest,Carnivore,Wolf
119,46.3,75.6,Tundra,Carnivore,Wolf
120,858.6,481.5,Savanna,Herbivore,Giraffe
121,174.1,113.8,Grassland,Carnivore,Lion
122,219.9,106.1,Savanna,Carnivore,Lion
123,208.3,122.7,Grassland,Carnivore,Lion
124,336.3,122.2,Savanna,Herbivore,Zebra
125,2.0,21.3,Forest,Herbivore,Rabbit
126,1.4,39.1,Grassland,Herbivore,Rabbit
127,1.2,27.3,Grassland,Herbivore,Rabbit
128,56.3,88.0,Tundra,Carnivore,Wolf
129,1.8,30.3,Grassland,Herbivore,Rabbit
130,1.5,22.6,Grassland,Herbivore,Rabbit
131,2.9,32.9,Grassland,Herbivore,Rabbit
132,276.0,119.7,Tundra,Omnivore,Bear
133,903.7,503.9,Grassland,Herbivore,Giraffe
134,110.3,144.1,Forest,Omnivore,Bear
135,4.4,35.6,Grassland,Omnivore,Fox
136,1103.3,444.7,Savanna,Herbivore,Giraffe
137,394.7,117.1,Forest,Omnivore,Bear
138,6.3,42.0,Forest,Omnivore,Fox
139,5615.2,331.9,Forest,Herbivore,Elephant
140,42.4,68.3,Forest,Carnivore,Wolf
141,1155.6,465.1,Grassland,Herbivore,Giraffe
142,7.4,39.4,Grassland,Omnivore,Fox
143,186.2,106.2,Grassland,Carnivore,Lion
144,56.6,75.7,Forest,Carnivore,Wolf
145,1133.9,418.0,Grassland,Herbivore,Giraffe
146,55.4,67.4,Tundra,Carnivore,Wolf
147,398.7,126.5,Grassland,Herbivore,Zebra
148,391.1,115.4,Forest,Omnivore,Bear
149,5.5,38.5,Forest,Omnivore,Fox
150,72.0,64.1,Forest,Carnivore,Wolf
151,2.8,23.3,Forest,Herbivore,Rabbit
152,232.7,103.1,Grassland,Carnivore,Lion
153,840.9,451.4,Grassland,Herbivore,Giraffe
154,207.0,100.1,Tundra,Omnivore,Bear
155,385.1,132.7,Savanna,Herbivore,Zebra
156,52.2,78.4,Forest,Carnivore,Wolf
157,368.0,110.1,Grassland,Herbivore,Zebra
158,31.4,66.4,Forest,Carnivore,Wolf
159,7.7,42.5,Forest,Omnivore,Fox
160,205.0,110.1,Grassland,Herbivore,Zebra
161,362.4,128.9,Savanna,Herbivore,Zebra
162,3822.2,255.3,Savanna,Herbivore,Elephant
163,208.0,111.4,Grassland,Carnivore,Lion
164,1195.8,518.5,Grassland,Herbivore,Giraffe
165,3105.4,334.9,Forest,Herbivore,Elephant
166,8.9,36.5,Forest,Omnivore,Fox
167,3199.3,315.9,Savanna,Herbivore,Elephant
168,2.1,28.8,Forest,Herbivore,Rabbit
169,7.3,45.4,Forest,Omnivore,Fox
170,71.4,86.3,Forest,Carnivore,Wolf
171,2.7,33.5,Grassland,Herbivore,Rabbit
172,1078.5,439.2,Grassland,Herbivore,Giraffe
173,279.6,134.6,Forest,Omnivore,Bear
174,259.3,110.3,Tundra,Omnivore,Bear
175,250.0,108.9,Tundra,Omnivore,Bear
176,882.1,542.8,Grassland,Herbivore,Giraffe
177,201.2,104.1,Savanna,Carnivore,Lion
178,4013.6,289.4,Forest,Herbivore,Elephant
179,5.3,36.1,Grassland,Omnivore,Fox
180,4793.2,256.2,Savanna,Herbivore,Elephant
181,4013.1,341.7,Forest,Herbivore,Elephant
182,1.9,24.3,Grassland,Herbivore,Rabbit
183,4.1,35.9,Grassland,Omnivore,Fox
184,101.1,118.2,Tundra,Omnivore,Bear
185,2.9,25.4,Forest,Herbivore,Rabbit
186,62.9,70.5,Forest,Carnivore,Wolf
187,880.0,473.9,Savanna,Herbivore,Giraffe
188,399.8,127.7,Grassland,Herbivore,Zebra
189,1.3,37.7,Grassland,Herbivore,Rabbit
190,840.9,470.5,Grassland,Herbivore,Giraffe
191,8.2,36.2,Grassland,Omnivore,Fox
192,256.1,111.5,Grassland,Herbivore,Zebra
193,250.6,111.9,Grassland,Herbivore,Zebra
194,1182.0,454.7,Savanna,Herbivore,Giraffe
195,70.3,64.4,Tundra,Carnivore,Wolf
196,834.7,541.9,Grassland,Herbivore,Giraffe
197,73.6,83.3,Forest,Carnivore,Wolf
198,1.3,28.6,Grassland,Herbivore,Rabbit
199,2.6,21.7,Forest,Herbivore,Rabbit
200,5949.4,294.1,Savanna,Herbivore,Elephant
